abstract,title,year
"Improved joints for cryogenic liquid-containing tanks are disclosed. The joints include a support plate, a lower arm mounted on the support plate, an upper arm mounted on the support plate spaced from the lower arm, and tank skins extending into the space between the lower and upper arms. Sealing layers are provided between the tank skins and the joint arms. The joints are particularly useful for space launch vehicle cryogenic liquid propellant tanks which must be lightweight, withstand high structural loads and maintain leak-free conditions.",Cryogenic tank joint,2001
"The development of polymer composite liquid oxygen (LOX) tanks is a critical step in creating the next generation of launch vehicles. A composite LOX tank will weigh significantly less than conventional metal tanks. This benefit of reduced weight is critical to enable future launch vehicles to meet required mass fractions. The high strength and low weight of a composite tank allows for a lighter weight craft and/or higher payload capacity which results in lower costs per pound to place an object in orbit.The unique, nontraditional idea described here is to use resin-based composite materials to make such a composite tank or other oxygen carrying component such as a feedline. Polymer composites have traditionally been regarded as being more flammable than metals and therefore deemed not oxygen compatible. However, several cyanate ester composites have been tested for their ability to withstand ignition in the presence of oxygen, and have shown to be resistant to ignition.",Cyanate ester composites for oxygen containment,2002
"Various types of valves are disclosed, as well as the use of the same in a reaction control system for space travel vehicle applications. Multiple functions are provided by one of these valve designs by providing multiple flowpaths through the valve. An inflow and outflow tube of this multifunctional valve are fluidly interconnected with first and second chambers, respectively, within the valve. These first and second chambers are isolated from each other by a barrier assembly which may be &#8220;removed&#8221; at the desired type by a barrier rupture assembly to provide one of the noted multiple flowpaths (i.e., the inflow tube, the first chamber, the second chamber, and the outflow tube). A separate service port is fluidly interconnected with each of the first and second chambers, and a separate service valve may be disposed in each of these service ports to provide additional flowpaths for the multifunctional valve. One flowpath which exists prior to a rupturing of the barrier assembly includes the inflow tube, first chamber, and its associated service valve. Another flowpath which exists prior to a rupturing of the barrier assembly includes the outflow tube, second chamber, and its associated service valve. Another valve disclosed herein is a service valve for providing for a flow/no flow condition within a fluid system. This service valve includes a valve body and a valve stem which is slidably disposed within a bore within the valve body. The valve stem may be moved between at least two positions to terminate flow through within the valve body and to allow flow through the valve body, respectively. The service valve is configured so as to be resistant to side loads and provides redundant seals on redundant sealing surfaces. In this regard, the service valve includes at least three longitudinally-spaced radial seals between the valve body and valve stem, which are appropriately sized and oriented relative to each other to provide the desired functions.",Service valve and use of same in reaction control system,2002
"An injector for injecting a first liquid propellant and a second liquid propellant into a combustion chamber of a rocket engine. The injector includes a first injection element for injecting a first portion of the first liquid propellant into the combustion chamber such that the first portion of the first liquid propellant enters the combustion chamber in a first sheet or stream. A second injection element is spaced radially outward from the first injection element and injects a second portion of the first liquid propellant into the combustion chamber such that the second portion of the first liquid propellant enters the combustion chamber in a second stream. The first and second streams collide, causing the first and second portions of the first liquid propellant to at least partially atomize. A third injection element is spaced radially outward from the second injection element and injects at least a first portion of the second liquid propellant into the combustion chamber such that the first portion of the second liquid propellant enters the combustion chamber in a third stream. The third stream is collided with the at least partially atomized first propellant and produces a mixture of an atomized fuel and oxidizer. A method for injecting liquid oxidizer and liquid fuel into a combustion chamber is also provided.","Swirling, impinging sheet injector",2002
"The present invention relates to a fully androgynous, reconfigurable closed loop feedback controlled low impact docking system with load sensing electromagnetic capture ring. The docking system of the present invention preferably comprises two docking assemblies, each docking assembly comprising a load sensing ring having an outer face, one of more electromagnets, one or more load cells coupled to said load sensing ring. The docking assembly further comprises a plurality of actuator arms coupled to said load sensing ring and capable of dynamically adjusting the orientation of said load sensing ring and a reconfigurable closed loop control system capable of analyzing signals originating from said plurality of load cells and of outputting real time control for each of the actuators. The docking assembly of the present invention incorporates an active load sensing system to automatically dynamically adjust the load sensing ring during capture instead of requiring significant force to push and realign the ring.","Androgynous, reconfigurable closed loop feedback controlled low impact docking system with load sensing electromagnetic capture ring",2002
"A dispenser apparatus and method which includes a blended dispenser shell having a lower portion and a pair of integrally formed upper support portions defining two distinct support areas on which a pair of spacecrafts can be supported in a side-by-side configuration. The upper support portions are further disposed within an envelope defined by a lower edge of the lower portion of the dispenser shell. In one alternative embodiment a pair of adapter shells are disposed on the upper support portions to enable interfacing with a standardized interface ring of each spacecraft. The embodiments of the dispenser are each formed from a graphite epoxy material by conventional construction processes and significantly reduce the overall weight of the dispenser, as compared with dispensers which support a pair of spacecrafts in a vertical configuration. The dispenser of the present invention further reduces the overall cost associated with supporting a pair of spacecrafts and reduces the amount of orbital debris which would otherwise be produced with dispensers which support a pair of spacecrafts in a vertical configuration.",Twin lobe spacecraft dispenser apparatus and method,2002
"A tension-relieving apparatus for reducing a level of tension in a structure. The tension-relieving apparatus includes a housing, a piston, a spacer member and a heat source. The housing has a wall member that defines a piston cavity. A rod aperture is formed in a first end of the wall member. The piston assembly has a rod and a piston. The rod extends through the rod aperture. The piston is disposed in the piston cavity and is coupled to an end of the rod. The spacer member is disposed in the piston cavity and is coupled to the piston assembly. The spacer member is transformable between a first condition and a second condition, with the first condition maintaining the piston at a first distance from the first end of the housing. The heat source is coupled to one of the housing, the piston assembly, and or the spacer member and provides heat to selectively cause the spacer member to transform to the second condition wherein the spacer member at least partially melts to permit the rod to advance toward the first end of the housing. Advancement of the piston toward the first end of the housing relieves a predetermined portion of the tension in the structure.",Device for controlled release of tension,2002
"A system and method for docking a space object to a space travel vehicle is disclosed. The space travel vehicle includes a frame assembly which may be deployed into an at least generally funnel-shaped profile at the desired time. A web of sorts is attached to the frame assembly and is disposed into an at least generally funnel-profile by the deployment of the frame assembly as well. In one embodiment the web is in the form of a plurality of Velcro tape members. A space object contacting the web is detachably adhered thereto by including suitable fasteners on the space object as well. Retraction of the frame assembly directs the space object into a space object receptacle of the space travel vehicle, detaches the tapes from the captured space object, and retains the captured space object within the space object receptacle. After the captured space object has been retrieved, the frame assembly may thereafter be deployed to capture another space object in the above-described manner.",Docking system & method for space travel vehicle,2002
"A method and system are provided for propelling an aerodynamic vehicle into space. The aerodynamic vehicle uses a nuclear-based thermal rocket (NTR) propulsion system capable of producing a hydrogen exhaust. A flow of air is introduced into the hydrogen exhaust to augment the thrust force at speeds of the vehicle up to approximately Mach 6. When the speed of the vehicle is approximately Mach 6 and the altitude of the vehicle is approximately 40 kilometers, the flow of air is stopped and the vehicle is propelled into space using only the NTR.",Atomic-based combined cycle propulsion system and method,2002
"A system for providing cryogenic sub-critical liquid oxygen and liquid hydrogen to storage tanks and payloads contained inside the payload bay of a space vehicle is described. The system provides for transferring cryogenic fluid from a supercritical storage tank to a subcritical storage tank or payload in a zero-g environment, wherein the H2 and O2 ignition hazard has been eliminated due to the low vacuum pressure operating environment. The system includes an external heat exchanger, for example, a parallel flow concentric tube design, and a temperature control system for re-condensing the two-phase transfer fluid expelled from the supercritical storage system into a single phase, sub-cooled cryogenic fluid which is then introduced into and stored within the subcritical storage tank.",Cryogenic fluid supply from supercritical storage system,2002
"The development of polymer composite liquid oxygen (LOX) tanks is a critical step in creating the next generation of launch vehicles. A composite LOX tank will weigh significantly less than conventional metal tanks. This benefit of reduced weight is critical to enable future launch vehicles to meet required mass ractions. The high strength and low weight of a composite tank allows for a lighter weight craft and/or higher payload capacity which results in lower costs per pound to place an object in orbit. The unique, nontraditional idea described here is to use resin-based composite materials to make such a composite tank or other oxygen carrying component such as a feedline. Polymer composites have traditionally been regarded as being more flammable than metals and therefore deemed not oxygen compatible. However, a hybrid composite material may provide the optimal balance of oxygen compatibility and mechanical performance that would make composite oxygen tanks feasible.",Hybrid composites for oxygen propulsion systems,2002
"The invention is a combination solar panel and planar array antenna for a satellite. In detail, the invention includes a generally flat solar panel having external and internal surfaces, the external surface having solar energy collecting devices thereon. A generally flat planar antenna having external and internal surfaces is coupled to the flat solar panel, with the external surface for receiving and transmitting electromagnetic energy. The planar array is coupled to the solar panel such that the interior surfaces of the solar array and the planar antenna face each other. The interior surfaces of the solar array and the planar antenna are high emissive thermal surfaces. The external surface of the planar array is a low absorptivity and high emissivity surface.",Combination solar array assembly and antenna for a satellite,2002
"Fluids such as air, liquid or gaseous fuels are stored within a passage of a helically wound flexible hose sandwiched within a peripheral portion of a tubular enclosure of a transport vehicle between an outer shell and an inner support layer of such tubular enclosure, within which equipment and personnel are transported through an environment such as seawater, atmospheric aerospace or outer space. The foregoing structural arrangement provides for highly efficient performance of fluid storing tankage and vehicle envelope support functions.",Protective enclosure with peripheral fluid storage facility,2002
"A satellite dispenser adapted to be coupled to a launch vehicle. The dispenser includes a single-piece, integrally formed tubular shell for supporting a plurality of independent satellites thereon. The tubular shell is significantly lighter than multi-piece dispenser shells that require a connecting ring for coupling the post portion and base portion of the shell together. The single piece shell also significantly reduces the cost and simplifies the manufacture of the dispenser shell. The dispenser shell, in certain preferred embodiments, includes a tapered post portion which enables satellites being carried on the upper portion of the post portion to extend further into a fairing disposed over the satellites and dispenser shell during flight, thus making more efficient use of the envelope defined by the interior area of the fairing. A frusto-conical base portion integrally formed with the post portion enables the load supported by the dispenser shell to be evenly distributed throughout the base portion. The single-piece design also significantly improves the bending stress resistance of the dispenser and its overall structural rigidity. The various preferred embodiments each include a plurality of circular frames which are secured to an interior surface of the dispenser shell. A plurality of interface fittings are secured to an exterior surface of the dispenser shell and support a plurality of satellites thereon.",Satellite dispenser,2002
"A thruster device and associated methods are provided. The thruster device comprises a frustoconical inner layer and a frustoconical outer layer that surrounds the inner layer such that the inner and outer layers cooperate to define a spiral flow passage therebetween. An outlet, such as a nozzle, is attached to an exit end of the thruster device such that the outlet is in fluid communication with the spiral flow passage. In one embodiment, the thruster device includes an end flow cap that is also attached to the exit end and establishes the fluid communication between the spiral flow passage and the outlet. The end flow cap includes at least one channel for directing the propellant from the spiral flow passage to the outlet. The design of the thruster device allows the frustoconical inner and outer layers to be assembled without galling or damaging the spiral flow passage.",Thruster device responsive to solar radiation,2002
"The present invention discloses a novel fuel structure for housing and delivering disparate cryogenic fuels to combustion zones in an aerospace vehicle. The tank comprises a plurality of containers having volumes that are separated by common wall bulkheads and which are arranged substantially side-by-side in conformance with the interior of the aerospace vehicle. A tank support structure positioned within the vehicle interior includes lengthwise supports as well as cross-wise supports, with the latter including openings within which the rear ends of the containers are supported. Fuel from the containers is delivered to the vehicle's combustion system via appropriate fuel lines carried by dome shaped end caps at the rear ends of the containers.",Common bulkhead cryogenic propellant tank,2002
"Spacecraft thruster systems are provided that can realize station changing, station keeping and momentum dumping in spacecraft while minimizing loss of spacecraft service time. The systems are formed with pairs of E and W thrusters, NE and SE thrusters and NW and SW thrusters whose thrust directions are each defined by respective polar angles &phgr; and slew angles &agr;. The E and W thrusters are especially suited for rapid station changing while the remaining thrusters generate normal, tangential and radial thrust components required for station keeping. Because all thrusters are directed through the spacecraft's center of mass during station changing and station keeping firings, the spacecraft's attitude is not disturbed and loss of service time is avoided. The thrusters are preferably gimbaled so that they can track spatial changes of the spacecraft's center of mass or, for momentum dumping, be offset from that center of mass. The normal tangential and radial thrust components of the thruster systems are arranged so that station changing, station keeping and momentum dumping are still realized after the failure of any thruster pair.","Thruster systems for spacecraft station changing, station keeping and momentum dumping",2002
"An article used for thermal protection includes a base structure having at least one surface. The base structure is made of a ceramic oxide material. A silicide coating is formed on the at least one surface of the base structure. The coating comprises a refractory metal and silicon, which together form a silicide. The coating is at least partially diffused into the base structure at the at least one surface.",Durable refractory ceramic coating,2002
"A reusable first stage (100) includes a booster engine system (102) for providing thrust during launch, a structural assembly (108), canards (118), jet engines (122), wings (124), elevons (126) and retractable landing gear (130). After separation, the jet engines (122) and aerodynamic control surfaces are used to return the first stage to a landing strip. The booster system (102) includes a structurally stable outer skin system such as an isogrid structure. The first stage (100) is thereby adapted for controlled descent and recovery with minimal structural enhancement or added mass.",Fly back booster,2002
"An optical sensor includes dual fields of view including a panoramic field of view spanning 360&deg; in azimuth angle in a direction perpendicular to an axis of the sensor, and a limb-looking field of view non-perpendicular to the axis for viewing the limb of the earth. Both fields of view are imaged onto annular regions of one of more focal plane arrays comprising pixels arranged in a rectangular array of rows and columns. The sensor is used in a method for capturing rate and direction of rotation of a satellite about its axes and for detecting orientation of the satellite about two of its axes. Rate and direction are determined by finding the center of the earth relative to axes of the focal plane array based on the image of the earth limb from the panoramic field of view, and comparing the earth center location at a series of sequential times. The rate and position information are used for stabilizing an initially tumbling satellite after tip-off. Once the satellite is stabilized, its orientation is detected by finding the earth center location on the focal plane array based on the earth limb image from the limb-looking optics of the sensor. In one embodiment of the invention, both fields of view are imaged onto concentric inner and outer ring-shaped regions of the same focal plane array.",Method and sensor for capturing rate and position and stabilization of a satellite using at least one focal plane,2002
"A system (and accompanying method) for reducing thermal shock in a physical device includes: a gas inlet portion; and an ablator material positioned in the gas inlet portion to reduce a temperature differential at a surface between the gas inlet portion and a gaseous material propelled through the gas inlet portion. The gas inlet portion can include: a first material; and a second material having a boundary with the first material, where the ablator material is positioned at the boundary. The first material is not sensitive to thermal shock, and the second material is sensitive to thermal shock. The ablator material can be housed in a recess at the boundary. The first material can be a manifold. The second material can be a portion of a control valve for controlling the direction and amount of a hot gas emitted therefrom. The manifold can include a bypass slot connecting a main inlet gas chamber of the manifold with a surface of the ablator material. A portion of the manifold between the bypass slot and the main inlet gas chamber can be diverted to block a portion of the volume of the main inlet gas chamber. A portion of the ablator material can protrude into the main inlet gas chamber. A portion of the manifold can protrude into the main inlet chamber to form an eddy gas current in contact with the ablator material and behind the manifold. A portion of the ablator material can also protrude into the main inlet gas chamber. The ablator material can be comprised of a material having little residue upon burning and which changes directly from a solid to a gaseous form without first changing to a liquid intermediate form.",Hot gas valve construction for reducing thermal shock effects,2002
The system of the present invention is a spacecraft architecture for precision motion control of a payload while isolating disturbances and vibrations to the payload. The motion of the payload module is controlled by reacting on the support module using non-contact actuators disposed between the two modules. The motion of the support module is controlled to follow the payload module using external actuators that react against the surroundings. This system achieves vibration isolation down to zero frequency and is not limited by sensor characteristics.,Spacecraft architecture for disturbance-free payload,2002
"A process for determining an attitude measurement of a spacecraft is provided. The process employs a Horizon-Crossing Indicator (HCI) sensor 108. The process uses three time tagged crossings of the earth circle 104 to provide sufficient HCI data to determine the earth center 106. Since these observations may be infrequent, the relative attitude of the spacecraft 100 changes for each observation time. Therefore, once the integrated angular rate data, and thus the attitude relative to some reference, for the first, second and third horizon crossings is obtained, the sensor bore-sight data for each of these observations is transformed back to a known reference time. In one example, the integrated angular rate data from the third and second horizon crossings is transformed back to first horizon crossing time T1. Then, existing techniques can be applied to compute the transformation from the axes of the satellite 100 at the reference time T1 to some other axes at that time, resulting in an attitude estimate for the satellite 100.",Attitude determination with earth horizon-crossing indicators and relative-attitude propagation,2002
"A liquid propellant supply system (10) according to the invention is electrical in nature and avoids the need for a gas generator and a turbine assembly. In particular, the system (10) includes an electrical power source (12), a controller (14) and a motor (18) for driving the pump (20). The electrical power source (12) provides electrical power sufficient for high power, limited duration applications such as for launch vehicle applications. For launch vehicle applications, the power source (12) is preferably capable of providing very high power for at least 60 seconds. A number of different types of electrical power sources may be employed in this regard. For example, the power source (12) may include high energy density batteries, supercapacitors, or counter rotating flywheels. Multiple counter rotating motors may be employed in order to minimize precessional forces. The invention thereby eliminates problematic high pressure plumbing, reduces overall mass and allows for convenient mass flow rate throttling, as well as safe abort options.",Electrical drive system for rocket engine propellant pumps,2002
"A spacecraft power system utilizing a novel method for recharging batteries utilizing the ambient space plasma and at least two separate surface materials having different material properties is disclosed. This power system provides increased power and reduces electrical potential build-up of the spacecraft, thereby reducing the power needed from solar array panels and protecting sensitive electrical components and telemetry signals from damage or disturbance.",Spacecraft power system,2002
"Structures and methods are provided for deriving corrected star coordinates Ccrctd from measured star coordinates Cms that include star tracker charge transfer efficiency (CTE) errors. The structures and methods are based on a recognition that measured star coordinates Cms of star image centroids include CTE errors which are functions of the CCD path lengths over which the associated electrical charges traveled. In particular, the errors are substantially a product of a respective path length and a star-coordinate error factor &xgr; which, in turn, is a function of the star image magnitudes msi. Information contained in different measured star coordinates Cms is organized to facilitate the derivation of an estimate &xgr;* of the star-coordinate error factor &xgr; with conventional estimation processes. The measured star coordinates Cms are then corrected with the error factor estimate &xgr;* to realize the corrected star coordinates Ccrctd and, thereby, improve the accuracy of spacecraft attitude control.",Spacecraft methods and systems for autonomous correction of star tracker charge-transfer-efficiency errors,2002
"The process of mitigation of spacecraft surface charging using ionized water vapor is used, since it helps taking excess surface electrons away from a spacecraft surface, leaving practically no residue after complete evaporation.",Mitigation of spacecraft charging by means of ionized water vapor,2002
"An integrated sample return capsule for use in returning materials to Earth from space, such as core samples from other celestial bodies and experiments from orbiting platforms. The sample return capsule incorporates thermal protection, structural integrity and impact mitigation into a single system capable of safely and securely returning the materials without requiring decelerating parachutes. In one embodiment, the integrated sample return capsule includes a forward facing heat shield and a back shell attached to the rear of the heat shield. The heat shield and the back shell define an interior enclosure. The back shell includes an access, such as a door or a removable panel, there through to the interior enclosure. Materials to be returned may be sealed in a sample containment vault, and the sealed vault may be placed into the interior enclosure through the access. An optional support deck may be provided within the interior enclosure for receiving the sample containment vault and supporting the vault within the interior enclosure.",Integrated sample return capsule,2002
"A method, apparatus, article of manufacture for determining the attitude of a spacecraft having at least one star sensor. The method comprises the steps of selecting a first reference star sensor from among the star sensors; designating two stars observed by the first reference star sensor as a primary star pair; identifying a candidate star pair corresponding to the primary star pair, wherein the candidate star pair is selected from a star catalog having a plurality of entries; estimating an inertial orientation of the first star sensor at least in part from the identified candidate star pair; and determining the spacecraft attitude from the estimated inertial orientation of a reference star sensor selected from a group comprising the first star sensor.",Lost-in-space stellar attitude acquisition using multiple star trackers,2002
"An attitude control system uses a first order partial derivative of an error signal, representing a difference between a commanded pitch attitude and a sensed, actual pitch attitude. The first order partial derivative forms a cross product with the Earth's magnetic field to provide a X axis torque rod dipole command, which powers the torque rod in a way that causes a satellite to move toward its commanded attitude.",Satellite attitude control system,2002
"The present invention provides a solar tile and method for fabricating the same. The solar tile includes a flexible circuit having at least one electrically conductive path laminated between two insulating sheets. The flexible circuit includes a plurality of openings that are completely through the flexible circuit and define contact locations with the electrically conductive path. The solar tile also includes a plurality of coplanar photovoltaic solar cells that are secured to the flexible circuit so that the contacts are aligned with the openings in the flexible circuit. Further, the solar tile includes a plurality of electrically conductive solder connections located within the openings in the flexible circuit to electrically connect the solar cell contacts and the electrically conductive path. Additionally, in a preferred embodiment, the solar tile includes a single coverslide situated adjacent and covering the plurality of solar cells opposite the flexible circuit.",Solar tile and associated method for fabricating the same,2002
"A spacecraft protected by a coating includes a spacecraft such as a communications satellite has an external surface and a coating on the external surface of the spacecraft. The coating is formed of a binder, and a plurality of pyroelectric/ferroelectric pigment particles, preferably ferroelectric particles, bound together by the binder. Each ferroelectric pigment particle includes a ferroelectric pigment material having a ferroelectric/paraelectric transition. The coating may also include active secondary particles and/or inert particles. The coating may operate in a passive mode or an active mode with the application of a bias voltage to the coating.","Spacecraft protected by a coating including pyroelectric/ferroelectric particles, and the coating material",2002
"A method for controlling spacecraft velocity. A thruster torque gimbal angle command is calculated to provide a desired thruster torque demand command including a desired momentum adjust torque and a desired attitude control torque. A velocity change error between a commanded velocity change and an actual velocity change, a commanded force vector based on the error to cause the actual velocity change to approach a commanded velocity change, and force gimbal angle commands and force thrust commands to achieve the commanded force vector are calculated; and/or an error between gimbal angles and thrust levels and reference gimbal angles and thrust levels, reference gimbal angle commands and reference thrust commands to drive actual gimbal angles and thrust levels toward reference gimbal angles and reference thrust levels are calculated. A total gimbal angle command is calculated by adding the torque gimbal command with at least one of the force gimbal angle command and the reference gimbal angle command. A total thrust command is calculated including at least one of the force thrust command and the reference thrust command. The thrusters are gimbaled to the total gimbal angle command and a level of thrust produced by the thrusters is varied according to the total thrust command.",Gimbaled thruster control system,2002
"Provided is a laser propelled craft having a) a forebody or nose, b) a tapering parabolic afterbody optic or mirror, c) a shroud mounted therebetween and extending aft to define an annular space around a portion of the afterbody near its base and d) means to transmit a pulsed laser beam toward the laser craft and afterbody optic and thence to focus into the annular shroud. The laser beam is pulsed to heat and pressurize the air in the annular space to expand same and propel such craft, the afterbody and shroud being so shaped as to self center or remain in the laser beam as the craft is propelled thereby. Such craft, which is spin-stablized, can also carry a fuel insert ring mounted in the shroud around the afterbody, to be ablated by the laser beam at a desired altitude, so as to transition from an air breathing craft to a rocket craft, when the atmospheric density becomes too low, e.g., at 30 km altitude so that the lasercraft can thereafter be propelled into, e.g., low earth orbit.",Laser propelled vehicle,2002
"A propellant cross-feed system of the present invention for use with a two-stage rocket. The rocket (or reusable launch vehicle) includes a booster and an orbiter. The booster includes a booster propellant tank that is connected to a booster engine by a booster feed line. The orbiter includes an orbiter propellant tank that is connected to an orbiter engine by an orbiter feed line. Each propellant tank supplies propellant through its respective feed line to its respective engine. The cross-feed system includes a cross-feed line that connects the booster feed line to the orbiter feed line, thereby allowing propellant flow from the booster tank to the orbiter engine for parallel (simultaneous) engine burn. Cross-feed propellant flow is managed by a low pressure, cross-feed check valve that is responsive to propellant flow rate changes that occur as a result of the motorized operation of a switch-over valve.",Propellant cross-feed system and method,2002
"A Space Elevator for transporting a payload from one point to another in outer space, includes a first structure, located at a first relatively fixed, non-zero orbital distance from the surface of the earth, for receiving payloads, a second structure, located at a second relatively fixed orbital distance from the surface of the earth, for receiving payloads, where the second distance is greater than the first distance, a third structure located near the center of gravity of the combined apparatus providing a platform for storing and/or processing payloads, and a payload transporting apparatus disposed between and interconnecting the first and third and second and third structural means.",Space elevator,2002
"The development of polymer composite liquid oxygen (LOX) tanks is a critical step in creating the next generation of launch vehicles. A composite LOX tank will weigh significantly less than conventional metal tanks. This benefit of reduced weight is critical to enable future launch vehicles to meet required mass fractions. The high strength and low weight of a composite tank allows for a lighter weight craft and/or higher payload capacity which results in lower costs per pound to place an object in orbit. The unique, nontraditional idea described here is to use resin-based composite materials to make such a composite tank or other oxygen carrying component such as a feedline. Polymer composites have traditionally been regarded as being more flammable than metals and therefore deemed not oxygen compatible. However, several halogenated composites have been tested for their ability to withstand ignition in the presence of oxygen, and have shown to be resistant to ignition. A halogenated composite material is a fiber reinforced composite that contains an element or elements from column 7A in the Periodic Table of Elements.",Halogenated composites for oxygen systems,2002
"The development of polymer composite liquid oxygen (LOX) tanks is a critical step in creating the next generation of launch vehicles. A composite LOX tank will weigh significantly less than conventional metal tanks. This benefit of reduced weight is critical to enable future launch vehicles to meet required mass fractions. The high strength and low weight of a composite tank allows for a lighter weight craft and/or higher payload capacity which results in lower costs per pound to place an object in orbit. The unique, nontraditional idea described here is to use resin-based composite materials to make such a composite tank or other oxygen carrying component such as a feedline. Polymer composites have traditionally been regarded as being more flammable than metals and therefore deemed not oxygen compatible. However, PEAR (polyether amide resin) composites, due to their low flammability and high toughness, could be made into liquid oxygen tanks.",PEAR composites for oxygen systems,2002
"A rocket having a rocket engine vent system for a rocket engine is disclosed. The rocket engine vent system includes at least one rocket engine vent system conduit having a pair of vent apertures that are disposed on opposite sides of this conduit (i.e., disposed in opposing relation). A diverter with a pair of vanes is disposed within this rocket engine vent system conduit. One diverter vane projects toward one of the vent apertures, while the other diverter vane projects toward the other vent aperture. Two separate and discrete fluid flows are thereby directed out of the rocket engine vent system conduit in at least generally opposite directions, which significantly reduces the thrust to which the rocket engine is exposed when venting rocket fuel therefrom under high pressure conditions.",Rocket engine with reduced thrust and stagable venting system,2002
"The process of mitigation of spacecraft surface charging using polar molecules is invented. There exists a class of polar molecules which are electro-negative. This class includes the halocarbons, and includes the fluorocarbon refrigerants. They readily pick up electrons and become negatively charged molecules. In this invention, neutral polar molecular liquid is sprayed in fine mist form onto negatively charged spacecraft surfaces. The molecules pick up the electrons and evaporate away with the electrons.",Mitigation of spacecraft charging by means of polar molecules,2002
"A protective panel for a reusable launch vehicle provides enhanced moisture protection, simplified maintenance, and increased temperature resistance. The protective panel includes an outer ceramic matrix composite (CMC) panel, and an insulative bag assembly coupled to the outer CMC panel for isolating the launch vehicle from elevated temperatures and moisture. A standoff attachment system attaches the outer CMC panel and the bag assembly to the primary structure of the launch vehicle. The insulative bag assembly includes a foil bag having a first opening shrink fitted to the outer CMC panel such that the first opening and the outer CMC panel form a water tight seal at temperatures below a desired temperature threshold. Fibrous insulation is contained within the foil bag for protecting the launch vehicle from elevated temperatures. The insulative bag assembly further includes a back panel coupled to a second opening of the foil bag such that the fibrous insulation is encapsulated by the back panel, the foil bag, and the outer CMC panel. The use of a CMC material for the outer panel in conjunction with the insulative bag assembly eliminates the need for waterproofing processes, and ultimately allows for more efficient reentry profiles.",Large thermal protection system panel,2003
"A spacecraft orbit control system and method for controlling the orbit of a spacecraft during orbit raising includes processing spacecraft position data to meet the spacecraft attitude sensing needs for long duration, low thrust orbit raising burns. The actual spacecraft position as determined by a global positioning system (GPS) receiver is compared with the desired spacecraft position to generate an error signal indicative of a spacecraft position error for adjusting the attitude of the spacecraft as thrusters move the spacecraft. The attitude of the spacecraft is adjusted to eliminate the spacecraft position error such that the actual spacecraft position corresponds with the desired spacecraft position and the spacecraft maintains a desired orbit during the orbit raising.",Spacecraft orbit control using orbit position feedback,2003
"Boeing achieves satellite diversity by having a large discrimination angle for a MEO constellation of communications satellites to limit interference in the Ku-band with GSO communications systems. Each satellite entering an exclusion zone over a GSO ground station terminates all transmissions to provide EPFD within acceptable limits. The Boeing MEO constellation preferably comprises 20 satellites, 5 in each orbit. The four orbits are inclined at about 57&deg; with respect to the equator. Services include an Integrated Digital Service (IDS) and Backhaul Data Service (BDS) to accommodate the needs of different users.",Method for limiting interference between satellite communications systems,2003
"A method, apparatus, article of manufacture for determining the attitude of a spacecraft having at least one star sensor. The method comprises the steps of selecting a first reference star sensor from among the star sensors; designating two stars observed by the first reference star sensor as a primary star pair; identifying a candidate star pair corresponding to the primary star pair, wherein the candidate star pair is selected from a star catalog having a plurality of entries; estimating an inertial orientation of the first star sensor at least in part from the identified candidate star pair; and determining the spacecraft attitude from the estimated inertial orientation of a reference star sensor selected from a group comprising the first star sensor.",Lost-in-space stellar attitude acquisition using multiple star trackers,2003
"The present invention is directed to methods and apparatus of detecting engine ignition. The invention generally includes a camera assembly to detect electromagnetic spectra, and a control assembly operatively interconnected with the camera assembly to monitor and evaluate the spectral data collected by the camera assembly. The control assembly is generally programmed with first and second predetermined thresholds associated with respective first and second electromagnetic spectra, and a time threshold at least generally associated with a first time parameter in which at least one of the first and second predetermined thresholds should be reached.",Method and apparatus for ignition detection,2003
"The invention is a separable connector that includes nut and bolt assemblies for joining two structural elements together. The thread geometry is selected such when the nut and bolt assemblies are threadably joined and a tension load applied therebetween, upon release of nut the tension load is converted into rotational energy causing the nut to rotate at high speed acting as a flywheel causing the nut to spin off of the bolt.",Connector assembly,2003
"Improved joints for cryogenic liquid-containing tanks are disclosed. The joints include a support plate, a lower arm mounted on the support plate, an upper arm mounted on the support plate spaced from the lower arm, and tank skins extending into the space between the lower and upper arms. Sealing layers are provided between the tank skins and the joint arms. The joints are particularly useful for space launch vehicle cryogenic liquid propellant tanks which must be lightweight, withstand high structural loads and maintain leak-free conditions.",Method for making a cryogenic tank joint,2003
"A micro-electromechanical device that comprises miniaturized mechanical louvers, referred to as Micro Electro-Mechanical Systems (MEMS) louvers are employed to achieve a thermal control function for spacecraft and instruments. The MEMS louvers are another form of a variable emittance control coating and employ micro-electromechanical technology. In a function similar to traditional, macroscopic thermal louvers, the MEMS louvers of the present invention change the emissivity of a surface. With the MEMS louvers, as with the traditional macroscopic louvers, a mechanical vane or window is opened and closed to allow an alterable radiative view to space.",MEMS device for spacecraft thermal control applications,2003
